,PAREN,SEXO,EDAD,P3_7,NIVEL,GRADO,P3_9_1,P3_9_2,P3_9_3,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT,code
64,1,1,44,2.0,3.0,3.0,2.0,1.0,1.0,16,7,U,1,3,1,1001301
65,1,1,61,2.0,2.0,6.0,2.0,1.0,1.0,16,7,U,1,3,1,1001302
66,1,1,63,2.0,6.0,3.0,2.0,1.0,1.0,16,7,U,1,3,1,1001303
67,1,1,46,2.0,3.0,3.0,2.0,1.0,1.0,16,7,U,1,3,1,1001304
68,1,1,38,2.0,6.0,3.0,2.0,1.0,1.0,16,7,U,1,3,1,1001305
69,1,2,98,2.0,8.0,5.0,2.0,2.0,2.0,17,7,U,1,3,1,1001481
70,1,2,60,2.0,6.0,3.0,2.0,1.0,1.0,17,7,U,1,3,1,1001482
71,1,1,47,2.0,3.0,3.0,1.0,1.0,1.0,17,7,U,1,3,1,1001483
72,1,2,70,2.0,3.0,3.0,1.0,1.0,1.0,17,7,U,1,3,1,1001484
73,1,1,67,2.0,9.0,2.0,9.0,1.0,1.0,18,7,U,1,3,1,1001521
74,1,1,53,2.0,6.0,3.0,1.0,1.0,1.0,18,7,U,1,3,1,1001522
75,1,2,28,2.0,8.0,5.0,1.0,1.0,1.0,18,7,U,1,3,1,1001523
76,1,2,40,2.0,8.0,2.0,1.0,1.0,1.0,18,7,U,1,3,1,1001524
77,1,1,49,2.0,8.0,1.0,1.0,1.0,1.0,18,7,U,1,3,1,1001525
78,1,1,60,2.0,7.0,3.0,1.0,1.0,1.0,19,7,U,1,3,1,1001612
79,1,2,61,2.0,3.0,3.0,2.0,1.0,1.0,19,7,U,1,3,1,1001613
80,1,1,50,2.0,5.0,3.0,1.0,1.0,1.0,19,7,U,1,3,1,1001614
81,1,1,55,2.0,6.0,3.0,2.0,2.0,1.0,20,7,U,1,3,1,1001621
82,1,1,55,2.0,3.0,3.0,2.0,1.0,1.0,20,7,U,1,3,1,1001622
83,1,2,49,2.0,3.0,3.0,1.0,1.0,1.0,20,7,U,1,3,1,1001623
84,1,2,47,2.0,2.0,6.0,2.0,1.0,1.0,20,7,U,1,3,1,1001624
85,1,1,60,2.0,6.0,3.0,2.0,2.0,1.0,20,7,U,1,3,1,1001625
86,1,2,86,2.0,2.0,6.0,2.0,2.0,2.0,21,7,U,1,3,1,1001711
