,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P1_5_3,P2_1,P2_2,ENT,code,HOGAR,P4_1_1,P4_1_2,P4_1_3,P4_1_4,P4_1_5,P4_1_6,P4_2_1,P4_2_2,P4_4
83,3,1,1,1,1,1,2,5,1,1,1001623,1,1,1,1,1,2,1,2,2,1
84,3,1,1,1,1,1,2,4,1,1,1001624,1,1,2,1,1,2,1,2,2,1
85,3,1,1,1,1,1,1,2,1,1,1001625,1,1,2,2,1,2,1,2,2,1
86,3,1,1,1,1,1,2,2,1,1,1001711,1,1,1,2,1,2,2,2,2,2
87,3,1,1,1,1,1,1,3,1,1,1001712,1,1,2,2,1,2,1,1,1,1
88,3,1,1,1,1,1,1,4,1,1,1001713,1,1,2,2,1,2,1,1,1,1
89,3,1,1,1,1,2,2,2,2,1,1001714,1,2,2,2,2,2,1,2,1,1
90,3,1,1,1,1,2,2,2,2,1,1001714,2,2,2,2,2,2,1,1,1,1
91,3,1,1,1,1,1,1,2,1,1,1001715,1,1,1,2,1,2,2,2,2,2
92,3,1,1,1,1,1,1,5,1,1,1001751,1,1,2,1,1,2,1,1,2,1
93,3,1,1,1,1,1,2,4,1,1,1001752,1,1,1,1,2,2,1,2,1,2
94,3,1,1,1,1,1,2,2,1,1,1001753,1,1,2,1,1,2,1,2,2,1
95,3,1,1,1,1,1,2,2,1,1,1001754,1,1,2,2,1,2,1,2,2,1
96,3,1,1,1,1,1,2,2,1,1,1001801,1,1,1,1,1,2,1,2,2,2
97,3,1,1,1,1,1,1,5,2,1,1001802,1,1,2,2,1,2,1,1,2,1
98,3,1,1,1,1,1,1,5,2,1,1001802,2,2,2,1,1,2,1,2,1,1
99,3,1,1,1,1,1,1,4,2,1,1001803,1,1,1,2,1,2,2,2,2,2
100,3,1,1,1,1,1,1,4,2,1,1001803,2,1,2,2,1,2,1,2,2,1
101,3,1,1,1,1,1,1,5,1,1,1001804,1,1,2,2,1,1,1,2,2,1
102,3,1,1,1,1,2,1,2,1,1,1001805,1,1,2,2,2,2,1,2,2,1
103,3,1,1,1,1,2,2,1,1,1,1001831,1,2,2,2,2,2,1,2,2,2
104,3,1,1,1,1,1,1,5,1,1,1001832,1,1,2,1,1,1,1,2,2,1
105,3,1,1,1,1,1,2,3,1,1,1001833,1,1,2,2,1,2,1,2,2,1
106,3,1,1,1,1,1,1,4,1,1,1001834,1,1,1,2,1,1,1,2,2,1
107,3,1,1,1,1,1,1,3,1,1,1001835,1,1,2,2,1,2,1,2,2,2
108,3,1,1,1,1,1,1,5,1,1,1001861,1,1,2,1,1,2,1,2,1,1
